id,region,distrito,latitud_a,longitud_a
249002,Ancash, Nuevo Chimbote,-9.128909999999999,-78.5271
250002,Ancash, Nuevo Chimbote,-9.133839999999999,-78.5065
251002,Ancash, Nuevo Chimbote,-9.142630000000001,-78.50869
252002,Ancash, Nuevo Chimbote,-9.13865,-78.50346
253002,Ancash, Nuevo Chimbote,-9.11993,-78.49923
254002,Ancash, Nuevo Chimbote,-9.12327,-78.49254999999999
255002,Ancash, Nuevo Chimbote,-9.13902,-78.49985
256002,Ancash, Nuevo Chimbote,-9.088579498,-78.52062951000001
257002,Ancash, Pampas Chico,-10.1536,-77.35426
258002,Ancash, Parobamba,-8.636664999000001,-77.36943166
259002,Ancash, Parobamba,-8.621438333,-77.36005166
260002,Ancash, Parobamba,-8.588963333000001,-77.38340666000001
261002,Ancash, Paucas,-9.15667,-76.89798
262002,Ancash, Pomabamba,-8.82122,-77.45599
263002,Ancash, Ponto,-9.325570000000001,-77.00535000000001
264002,Ancash, Quinuabamba,-8.694438333000001,-77.39581665999999
265002,Ancash, San Juan,-8.657463333000001,-77.61336833
266002,Ancash, San Juan,-8.656095000000001,-77.58740999
267002,Ancash, San Marcos,-9.65565,-77.18356
268002,Ancash, San Miguel de Aco,-9.356285,-77.54540498999999
269002,Ancash, San Miguel de Aco,-9.343236665999999,-77.54617333
270002,Ancash, San Pedro de Chana,-9.479329999000001,-77.01243332999999
271002,Ancash, San Pedro de Chana,-9.488683333000001,-77.01636499
272002,Ancash, Santa,-8.995810000000001,-78.61584000000001
273002,Ancash, Santa,-8.98513,-78.61642999999999
274002,Ancash, Santa Cruz,-8.9659414,-77.79600730999999
275002,Ancash, Shilla,-9.226896666,-77.61864833
276002,Ancash, Shilla,-9.227991667,-77.61587
277002,Ancash, Tarica,-9.37748,-77.52898500000001
278002,Ancash, Tarica,-9.383471666,-77.53913833
279002,Ancash, Tarica,-9.426266666,-77.55206166000001
280002,Ancash, Tarica,-9.430168332999999,-77.54183166
281002,Ancash, Ticapampa,-9.763985,-77.42832666
282002,Ancash, Ticapampa,-9.761179998999999,-77.43895999
283003,Apurimac, Abancay,-13.62862,-72.88658
284003,Apurimac, Abancay,-13.63004,-72.88849999999999
285003,Apurimac, Abancay,-13.6337,-72.86609
286003,Apurimac, Abancay,-13.63731,-72.88424000000001
287003,Apurimac, Abancay,-13.6331,-72.88936
288003,Apurimac, Abancay,-13.63469,-72.8903
289003,Apurimac, Abancay,-13.6397,-72.90129
290003,Apurimac, Abancay,-13.63524551,-72.90943833
291003,Apurimac, Abancay,-13.6265028,-72.84525455000001
292003,Apurimac, Abancay,-13.62626,-72.88723
293003,Apurimac, Abancay,-13.63685,-72.88111000000001
294003,Apurimac, Abancay,-13.63745,-72.89569
295003,Apurimac, Abancay,-13.6262,-72.88473000000001
296003,Apurimac, Abancay,-13.62822,-72.88352
297003,Apurimac, Abancay,-13.627,-72.87785
298003,Apurimac, Abancay,-13.63898,-72.87548
299003,Apurimac, Abancay,-13.6418,-72.88394
300003,Apurimac, Abancay,-13.63975,-72.8817
301003,Apurimac, Abancay,-13.63672,-72.86729
302003,Apurimac, Anco_Huallo,-13.5303,-73.67453999999999
303003,Apurimac, Anco_Huallo,-13.52923,-73.68096
304003,Apurimac, Anco_Huallo,-13.52891,-73.67804
305003,Apurimac, Anco_Huallo,-13.53275345,-73.68716671
306003,Apurimac, Andahuaylas,-13.65609,-73.40730000000001
307003,Apurimac, Andahuaylas,-13.65257,-73.38873
308003,Apurimac, Andahuaylas,-13.65503,-73.38686
309003,Apurimac, Andahuaylas,-13.65925,-73.4029
310003,Apurimac, Andahuaylas,-13.64740333,-73.39416498999999
311003,Apurimac, Andahuaylas,-13.75694269,-73.39823180000001
312003,Apurimac, Andahuaylas,-13.74715,-73.419315
