;disaster_type;disaster_name;pcode;# of damaged houses;# of affected people;pcode_parent;# of affected people;# of damaged houses;land_area;# of hit distritos
;Flood;Total;160604;742;3740;1606;63780;15945;44855.8813287999;6
;Flood;Total;220808;14;42;2208;10761;2690.25;249.437359550753;3
;Flood;Total;210804;200;1000;2108;4719;1179.75;228.712454699846;1
;Flood;Total;090118;52;263;0901;98016;24504;3281.80372269878;8
;Flood;Total;220902;280;1022;2209;2019;504.75;155.649838342251;3
;Flood;Total;211202;191;955;2112;4707;1176.75;510.19047392864;1
;Flood;Total;050407;314;1565;0504;49380;12345;3177.84544356829;4
;Flood;Total;080408;68;350;0804;13337;3334.25;1991.32847318;1
;Flood;Total;220912;0;0;2209;1340;335;78.2337464696059;1
;Flood;Total;210208;290;1450;2102;32720;8180;3128.77733897048;4
;Flood;Total;081212;3;20;0812;32886;8221.5;1083.5108718528;3
;Flood;Total;211203;84;363;2112;8548;2137;4780.52025844723;2
;Flood;Total;150125;0;0;1501;706654;176663.5;97.99685974953;2
;Flood;Total;040110;29;87;0401;48677;12169.25;26.1249242344401;1
;Flood;Total;140112;20;100;1401;44285;11071.25;67.1616354767227;1
;Flood;Total;160110;2709;13380;1601;20608;5152;30002.5208983691;4
;Flood;Total;160401;7094;20598;1604;120705;30176.25;34094.8543988036;5
;Flood;Total;080607;22;125;0806;8412;2103;170.248823023594;3
;Flood;Total;040203;11;45;0402;13780;3445;1112.01484637551;2
;Flood;Total;150501;112;620;1505;390768;97692;3635.99985338188;7
;Flood;Total;210503;3495;11556;2105;12850;3212.5;150.469181483185;1
;Flood;Total;200208;40;200;2002;12194;3048.5;276.246982211364;1
;Flood;Total;220106;83;307;2201;6750;1687.5;138.940612348042;2
;Flood;Total;200405;159;795;2004;28198;7049.5;347.107505736498;2
;Flood;Total;220801;333;1646;2208;187776;46944;1660.00063477762;8
;Flood;Total;160804;638;2660;null;null;null;null;2
;Flood;Total;150123;0;92;1501;259306;64826.5;370.083169926731;2
;Flood;Total;220305;33;114;2203;3120;780;62.5303653464416;1
;Flood;Total;240104;0;250;2401;14100;3525;1446.96373736896;2
;Flood;Total;210114;120;480;2101;1790;447.5;489.325133575987;1
;Flood;Total;060105;0;53;0601;24190;6047.5;635.348627453065;1
;Flood;Total;120429;0;0;1204;854;213.5;8.02157011146224;1
;Flood;Total;210603;15;60;2106;5371;1342.75;105.178328619782;1
;Flood;Total;120501;49;182;1205;59358;14839.5;5212.69912087441;6
;Flood;Total;250202;55;172;2502;26379;6594.75;23245.1456144802;3
;Flood;Total;190113;4;26;1901;91710;22927.5;478.845701565118;3
;Flood;Total;151015;40;260;1510;1140;285;98.9747007099643;2
;Flood;Total;250101;3622;15506;2501;5392870;1348217.5;407995.9948413;35
;Flood;Total;100101;25;127;1001;380325;95081.25;493.209058524785;5
;Flood;Total;220406;358;1461;2204;3360;840;232.037709440339;5
;Flood;Total;120504;65;419;1205;11680;2920;2020.82272969829;2
;Flood;Total;050908;0;0;0509;1021;255.25;314.716042332881;1
;Flood;Total;150107;0;0;1501;43428;10857;42.7865873936262;1
;Flood;Total;160502;790;1643;1605;4212;1053;18133.6655677886;2
;Flood;Total;240303;0;0;2403;2395;598.75;388.925444973218;1
;Flood;Total;220102;130;649;2201;21510;5377.5;589.367764492575;5
;Flood;Total;150202;1187;5341;1502;44774;11193.5;828.026714875729;2
;Flood;Total;021101;2526;15085;0211;72948;18237;8733.65869715512;3
;Flood;Total;240101;597;1685;2401;1005147;251286.75;1364.14051702072;9
;Flood;Total;120124;4;18;1201;17823;4455.75;1740.20748794107;3
;Flood;Total;080104;50;200;0801;47101;11775.25;89.7439656483808;1
;Flood;Total;120301;241;2205;1203;123375;30843.75;3694.50692830762;5
;Flood;Total;210301;5;14;2103;12869;3217.25;1018.00314448128;1
;Flood;Total;220909;0;0;2209;41114;10278.5;267.37941320596;1
;Flood;Total;210203;0;0;2102;7483;1870.75;337.420432864903;1
;Flood;Total;060112;3;68;0601;25975;6493.75;370.958133113655;5
;Flood;Total;200401;3838;186;2004;152428;38107;1721.05128520102;2
;Flood;Total;160505;5761;17261;1605;66968;16742;39159.7427930932;8
;Flood;Total;210805;289;1445;2108;17064;4266;1378.56894074045;2
;Flood;Total;081103;28;140;0811;11264;2816;712.925092686328;1
;Flood;Total;080201;0;0;0802;5552;1388;143.275391033925;1
;Flood;Total;220303;27;114;2203;13022;3255.5;520.099755963922;1
;Flood;Total;110202;67;240;1102;44322;11080.5;2194.25929777872;6
;Flood;Total;051011;59;177;0510;2763;690.75;379.755873325297;1
;Flood;Total;060801;197;586;0608;1104950;276237.5;6076.1580311959;11
;Flood;Total;210501;649;3245;2105;173715;43428.75;2748.58529404693;3
;Flood;Total;080503;40;180;0805;5738;1434.5;394.753039804941;1
;Flood;Total;150801;10;50;1508;117064;29266;1424.31472787534;2
;Flood;Total;210112;312;1560;2101;23229;5807.25;809.763914941655;3
;Flood;Total;150803;0;0;1508;6801;1700.25;2.70650094372249;1
;Flood;Total;210106;1;164;2101;14024;3506;230.054074634784;2
;Flood;Total;080606;30;180;0806;4680;1170;524.133519114958;1
;Flood;Total;090607;12;61;0906;7376;1844;4360.2952290661;2
;Flood;Total;200108;40;200;2001;4962;1240.5;104.99533570346;1
